53	01/12/2020	NEG
40	01/12/2020	POZ
51	02/12/2020	NEG
20	02/12/2020	POZ
33	03/12/2020	NEG
21	03/12/2020	POZ
52	04/12/2020	NEG
18	04/12/2020	POZ
73	07/12/2020	NEG
38	07/12/2020	POZ
82	08/12/2020	NEG
33	08/12/2020	POZ
55	09/12/2020	NEG
22	09/12/2020	POZ
40	10/12/2020	NEG
26	10/12/2020	POZ
75	11/12/2020	NEG
33	11/12/2020	POZ
90	14/12/2020	NEG
35	14/12/2020	POZ
81	15/12/2020	NEG
55	15/12/2020	POZ
59	16/12/2020	NEG
52	16/12/2020	POZ
73	17/12/2020	NEG
45	17/12/2020	POZ
93	18/12/2020	NEG
48	18/12/2020	POZ
1	19/12/2020	POZ
116	21/12/2020	NEG
57	21/12/2020	POZ
82	22/12/2020	NEG
55	22/12/2020	POZ
35	23/12/2020	NEG
36	23/12/2020	POZ
107	28/12/2020	NEG
52	28/12/2020	POZ
102	29/12/2020	NEG
45	29/12/2020	POZ
1	30/12/2020	NEG
