19	01/09/2020	NEG
2	01/09/2020	POZ
21	02/09/2020	NEG
28	03/09/2020	NEG
1	03/09/2020	POZ
60	04/09/2020	NEG
1	04/09/2020	POZ
49	07/09/2020	NEG
11	07/09/2020	POZ
26	08/09/2020	NEG
2	08/09/2020	POZ
84	09/09/2020	NEG
15	09/09/2020	POZ
75	10/09/2020	NEG
5	10/09/2020	POZ
101	11/09/2020	NEG
13	11/09/2020	POZ
7	14/09/2020	NEG
16	14/09/2020	POZ
110	15/09/2020	NEG
31	15/09/2020	POZ
73	16/09/2020	NEG
9	16/09/2020	POZ
122	17/09/2020	NEG
14	17/09/2020	POZ
66	18/09/2020	NEG
6	18/09/2020	POZ
83	21/09/2020	NEG
12	21/09/2020	POZ
53	22/09/2020	NEG
7	22/09/2020	POZ
59	23/09/2020	NEG
31	23/09/2020	POZ
58	24/09/2020	NEG
33	24/09/2020	POZ
75	25/09/2020	NEG
22	25/09/2020	POZ
88	29/09/2020	NEG
30	29/09/2020	POZ
89	30/09/2020	NEG
35	30/09/2020	POZ
