17	01/06/2020	NEG
1	01/06/2020	POZ
3	02/06/2020	NEG
24	03/06/2020	NEG
28	04/06/2020	NEG
41	05/06/2020	NEG
17	08/06/2020	NEG
5	09/06/2020	NEG
9	10/06/2020	NEG
1	10/06/2020	POZ
7	11/06/2020	NEG
9	12/06/2020	NEG
2	12/06/2020	POZ
8	15/06/2020	NEG
6	15/06/2020	POZ
7	16/06/2020	NEG
1	17/06/2020	NEG
5	17/06/2020	POZ
1	18/06/2020	NEG
5	19/06/2020	NEG
14	22/06/2020	NEG
3	22/06/2020	POZ
1	23/06/2020	NEG
17	24/06/2020	NEG
3	25/06/2020	NEG
6	26/06/2020	NEG
1	26/06/2020	POZ
12	29/06/2020	NEG
2	30/06/2020	NEG
