26	04/05/2020	NEG
3	04/05/2020	POZ
21	05/05/2020	NEG
2	05/05/2020	POZ
12	06/05/2020	NEG
1	06/05/2020	POZ
12	07/05/2020	NEG
2	07/05/2020	POZ
32	11/05/2020	NEG
24	12/05/2020	NEG
18	13/05/2020	NEG
2	13/05/2020	POZ
4	14/05/2020	NEG
11	15/05/2020	NEG
1	15/05/2020	POZ
15	18/05/2020	NEG
13	19/05/2020	NEG
12	20/05/2020	NEG
15	21/05/2020	NEG
1	22/05/2020	NEG
34	25/05/2020	NEG
2	25/05/2020	POZ
23	26/05/2020	NEG
1	26/05/2020	POZ
9	27/05/2020	NEG
1	27/05/2020	POZ
17	28/05/2020	NEG
5	28/05/2020	POZ
34	29/05/2020	NEG
2	29/05/2020	POZ
